Year,index_nsa,"City, State",Population,Violent Crimes,Homicides,Rapes,Assaults,Robberies
,,,,,,,,
1979,55.7175,"Memphis, TN",682110,5785,103,704,1678,3300
,,,,,,,,
1979,51.83,"Miami, FL",362840,6825,134,261,3040,3390
,,,,,,,,
1979,56.6125,"Milwaukee, WI",645097,3039,63,283,1101,1592
,,,,,,,,
1979,57.5325,"Minneapolis, MN",363899,3899,30,327,1554,1988
,,,,,,,,
1979,50.995,"Nashville, TN",444443,3251,89,266,1180,1716
,,,,,,,,
1979,37.4525,"Newark, NJ",315818,9647,129,417,3001,6100
,,,,,,,,
1979,41.19,"Oakland, CA",344686,6064,106,373,2513,3072
,,,,,,,,
1979,58.7025,"Omaha, NE",370326,2017,40,193,830,954
,,,,,,,,
1979,54.4375,"Orlando, FL",121515,1726,17,133,1080,496
,,,,,,,,
1979,42.49,"Philadelphia, PA",1757368,14537,385,838,4476,8838
,,,,,,,,
1979,62.4425,"Mesa, AZ",115498,755,2,53,547,153
,,,,,,,,
1979,62.4425,"Phoenix, AZ",718216,5803,91,477,2898,2337
,,,,,,,,
1979,58.18,"Pittsburgh, PA",439407,4649,68,263,1566,2752
,,,,,,,,
1979,49.3775,"Portland, OR",406525,4558,39,435,2297,1787
,,,,,,,,
1979,46.4225,"Raleigh, NC",140285,804,17,46,539,202
,,,,,,,,
1979,48.3675,"Sacramento, CA",274300,3212,44,219,1309,1640
,,,,,,,,
1979,42.7675,"Seattle, WA",521590,4857,37,421,2328,2071
,,,,,,,,
1979,58.58,"Tampa, FL",277203,4206,37,308,2549,1312
,,,,,,,,
1979,55.7625,"Tucson, AZ",315978,2029,14,184,1134,697
,,,,,,,,
1979,74.9875,"Tulsa, OK",343258,2326,44,196,1435,651
,,,,,,,,
1979,44.6425,"Washington, DC",656000,10553,180,489,2964,6920
,,,,,,,,
1979,71.6375,"Wichita, KS",273559,1456,32,147,609,668
,,,,,,,,
1980,53.755,"Albuquerque, NM",328837,2810,49,217,1630,914
,,,,,,,,
1980,56.9425,"Atlanta, GA",422474,11075,201,671,5470,4733
,,,,,,,,
1980,61.3875,"Austin, TX",343425,1723,43,237,765,678
,,,,,,,,
1980,49.92,"Baltimore, MD",784554,16571,216,560,5775,10020
,,,,,,,,
1980,36.505,"Boston, MA",562582,12478,92,484,4376,7526
,,,,,,,,
1980,49.8875,"Buffalo, NY",357384,3833,61,297,1561,1914
,,,,,,,,
1980,53.5875,"Charlotte, NC",310794,2759,60,145,1868,686
,,,,,,,,
1980,46.465,"Chicago, IL",2986419,28658,863,1329,10205,16261
,,,,,,,,
1980,59.295,"Cincinnati, OH",383114,3930,48,353,1843,1686
,,,,,,,,
1980,57.0225,"Cleveland, OH",572657,11466,265,703,3696,6802
,,,,,,,,
1980,54.6925,"Columbus, OH",562416,5130,87,460,1359,3224
,,,,,,,,
1980,77.4375,"Dallas, TX",900104,12681,319,1121,6258,4983
,,,,,,,,
1980,58.77,"Aurora, CO",158249,1278,10,95,822,351
,,,,,,,,
1980,58.77,"Denver, CO",489318,5520,99,704,2351,2366
,,,,,,,,
1980,58.395,"Detroit, MI",1197325,23288,547,1313,7999,13429
,,,,,,,,
1980,79.365,"Arlington, TX",161192,806,7,72,531,196
,,,,,,,,
1980,71.0925,"Fresno, CA",215396,2369,49,193,895,1232
,,,,,,,,
1980,37.95,"Honolulu, HI",762020,2456,65,264,398,1729
,,,,,,,,
1980,90.9175,"Houston, TX",1557575,13499,524,1264,2530,9181
,,,,,,,,
1980,57.31,"Indianapolis, IN",698753,4453,107,410,1743,2193
,,,,,,,,
1980,58.8275,"Jacksonville, FL",542795,4848,70,414,2733,1631
,,,,,,,,
1980,55.4025,"Louisville, KY",,,,,,
,,,,,,,,
1980,61.8,"Memphis, TN",644957,6898,152,788,2112,3846
,,,,,,,,
